"","Year","Special Category","Rating","n"
"1","2006","Seafood",3.94444444444444,18
"2","2006","Vegetarian",4.14285714285714,7
"3","2007","Seafood",4.18518518518519,27
"4","2007","Vegan",4,1
"5","2008","Gluten-Free",3.33333333333333,6
"6","2008","Salad",3.22222222222222,9
"7","2008","Seafood",3.9047619047619,42
"8","2008","Vegan",4.27272727272727,11
"9","2008","Vegetarian",3.33333333333333,6
"10","2009","Gluten-Free",2.25,8
"11","2009","Salad",3.5,18
"12","2009","Seafood",3.50714285714286,140
"13","2009","Vegan",4.06451612903226,31
"14","2009","Vegetarian",3.80952380952381,21
"15","2010","Gluten-Free",3.83333333333333,12
"16","2010","Salad",3.44444444444444,18
"17","2010","Seafood",3.46643109540636,283
"18","2010","Vegan",3.83823529411765,68
"19","2010","Vegetarian",3.78947368421053,57
"20","2011","Gluten-Free",3.86567164179104,67
"21","2011","Salad",3.54385964912281,57
"22","2011","Seafood",3.5906432748538,513
"23","2011","Vegan",4.12096774193548,124
"24","2011","Vegetarian",3.72619047619048,84
"25","2012","Gluten-Free",3.33823529411765,68
"26","2012","Salad",3.64414414414414,222
"27","2012","Seafood",3.67599660729432,1179
"28","2012","Vegan",3.90952380952381,210
"29","2012","Vegetarian",3.78034682080925,173
"30","2013","Gluten-Free",3.39130434782609,115
"31","2013","Salad",3.58356940509915,353
"32","2013","Seafood",3.46960352422908,2270
"33","2013","Vegan",4.16835016835017,297
"34","2013","Vegetarian",3.49837133550489,307
"35","2014","Gluten-Free",3.45562130177515,169
"36","2014","Salad",3.92154065620542,701
"37","2014","Seafood",3.61334610472541,3132
"38","2014","Vegan",4.0652557319224,567
"39","2014","Vegetarian",3.8247191011236,445
"40","2015","Gluten-Free",3.55428571428571,175
"41","2015","Salad",3.92167300380228,1315
"42","2015","Seafood",3.72345132743363,4520
"43","2015","Vegan",4.1728045325779,706
"44","2015","Vegetarian",3.796875,576
"45","2016","Gluten-Free",3.0258064516129,155
"46","2016","Salad",3.84316691880988,1983
"47","2016","Seafood",3.78189876370422,4287
"48","2016","Vegan",4.02824858757062,531
"49","2016","Vegetarian",3.88168557536467,617
"50","2017","Gluten-Free",2.53076923076923,130
"51","2017","Salad",3.80889506601807,1439
"52","2017","Seafood",3.76462459695993,4342
"53","2017","Vegan",3.99568034557235,463
"54","2017","Vegetarian",3.97037914691943,844
"55","2018","Gluten-Free",2.55102040816327,98
"56","2018","Salad",3.69310344827586,1160
"57","2018","Seafood",3.71156462585034,3675
"58","2018","Vegan",4.10294117647059,476
"59","2018","Vegetarian",3.94222222222222,675
"60","2019","Gluten-Free",4.0375,80
"61","2019","Salad",3.6989247311828,744
"62","2019","Seafood",3.74772539288668,2418
"63","2019","Vegan",4.16666666666667,336
"64","2019","Vegetarian",3.95402298850575,435
"65","2020","Gluten-Free",4.22857142857143,35
"66","2020","Salad",3.8801652892562,242
"67","2020","Seafood",3.9478021978022,728
"68","2020","Vegan",4.38926174496644,149
"69","2020","Vegetarian",3.87898089171975,157
"70","2021","Gluten-Free",5,1
"71","2021","Salad",3.96296296296296,81
"72","2021","Seafood",3.78095238095238,210
"73","2021","Vegan",4.83333333333333,12
"74","2021","Vegetarian",3.72413793103448,29
"75","2022","Seafood",3,1
"76","2022","Vegetarian",5,2
